"Story","Title","Result","Date","Stability","Duration (s)"
"Check for Response Status Code, Content Type, Response Time and other other basic response validation","Verify response for a city","SUCCESS","2021-04-17T22:41:28.521+02:00[Europe/Berlin]","0.0","18.18"
"Check for Response Status Code, Content Type, Response Time and other other basic response validation","Verify response for multiple cities","SUCCESS","2021-04-17T22:41:46.769+02:00[Europe/Berlin]","0.0","1.73"
